class_id,title,instructor,duration_min,original_air_date,description,peloton_url,image_url,times_taken,last_taken,dates_taken,search_text,days_since_taken
e9715cbffc384f99be07a4e4132ded61,10 min Yoga Flow,Kirra Michel,10,05/18/2023,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=e9715cbffc384f99be07a4e4132ded61,https://s3.amazonaws.com/peloton-ride-images/621221f41d7320f3f53b62024495742da7634c8a/img_1684429137_55e375c5ff8e41c4a9775a90e980c019.png,7,08/08/2024,"03/13/2024, 04/17/2024, 06/08/2024, 06/22/2024, 07/02/2024, 07/11/2024, 08/08/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 05/18/2023 08/08/2024",675
e8011d0bfaa649fc9756bfe0ccbc773a,10 min Yoga Flow,Kirra Michel,10,01/12/2023,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=e8011d0bfaa649fc9756bfe0ccbc773a,https://s3.amazonaws.com/peloton-ride-images/011d969734077798ed2abc0a98fc61c45b3dbcaa/img_1673543627_2514d7958dd64f91b2ef75dc23fbf76a.png,6,11/17/2024,"03/25/2024, 04/19/2024, 07/05/2024, 08/03/2024, 09/02/2024, 11/17/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 01/12/2023 11/17/2024",574
49957a41f4554f239b2e1fe398e7b1cd,10 min Yoga Flow,Kirra Michel,10,09/01/2022,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=49957a41f4554f239b2e1fe398e7b1cd,https://s3.amazonaws.com/peloton-ride-images/31ff9d39eb2ca856ff6570ea5fda3434ace49250/img_1662052219_c1b1f713e16543ff870d0c3aa9b143f8.png,6,08/22/2024,"04/01/2024, 04/22/2024, 06/05/2024, 06/28/2024, 07/06/2024, 08/22/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 09/01/2022 08/22/2024",661
c885409b3ce645c79064f26d6ad9abb5,10 min Yoga Flow,Kirra Michel,10,04/09/2024,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=c885409b3ce645c79064f26d6ad9abb5,https://s3.amazonaws.com/peloton-ride-images/742f897b08a94481c3c1a9b0d958c0e2d87944ff/img_1712702819_e67d7302ec254028998e908e54cd615d.png,6,08/21/2024,"04/12/2024, 05/29/2024, 06/10/2024, 06/27/2024, 07/08/2024, 08/21/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 04/09/2024 08/21/2024",662
e0809960d3aa48aaa404e11d908a8174,15 min Yoga Flow,Kirra Michel,15,04/29/2022,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=e0809960d3aa48aaa404e11d908a8174,https://s3.amazonaws.com/peloton-ride-images/076efdcdb03c8e6152ec14c1d3a2e34c67016071/img_1651192610_c838606413dd4d9ba15954ef19df00de.png,6,08/16/2024,"05/24/2024, 07/10/2024, 07/16/2024, 07/23/2024, 07/31/2024, 08/16/2024","15 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 15 04/29/2022 08/16/2024",667
138471946d4347bf8ff68780ede83d82,20 min Yoga Flow,Kirra Michel,20,12/03/2024,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=138471946d4347bf8ff68780ede83d82,https://s3.amazonaws.com/peloton-ride-images/2f8629426854fdf12f9a237c4b77894d8ee78ad3/img_1733271010_78693d0f124e403dacddda377416e6b5.png,5,05/14/2025,"12/04/2024, 02/11/2025, 02/21/2025, 03/06/2025, 05/14/2025","20 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 20 12/03/2024 05/14/2025",396
6234bdd4cacf4b4098705dfe9364c686,10 min Yoga Flow,Kirra Michel,10,04/13/2023,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=6234bdd4cacf4b4098705dfe9364c686,https://s3.amazonaws.com/peloton-ride-images/768246905591efe2e2f73676169e4f7d4299f1a5/img_1681402473_1d26aa2bc8ec4c89aa69da218d936382.png,5,08/19/2024,"03/14/2024, 05/31/2024, 06/06/2024, 06/24/2024, 08/19/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 04/13/2023 08/19/2024",664
678be67c9bda458a9aec6faadd3b5e7c,10 min Yoga Flow,Kirra Michel,10,02/23/2023,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=678be67c9bda458a9aec6faadd3b5e7c,https://s3.amazonaws.com/peloton-ride-images/79ec401f6bc17e595f9c582f89bc9d9c28e1e61d/img_1677179488_3a3c65ece8c74278a81f9f403aa0df2b.png,5,07/13/2024,"03/28/2024, 04/24/2024, 05/17/2024, 06/26/2024, 07/13/2024","10 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 10 02/23/2023 07/13/2024",701
2f6109392b784f22a447db0c8830c598,30 min Yoga Flow,Kirra Michel,30,09/20/2024,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=2f6109392b784f22a447db0c8830c598,https://s3.amazonaws.com/peloton-ride-images/cfdfca5a7182bbeee6f7c2f20d5cfa26e5cf9912/img_1726839916_5d63fdf5262e44d5b0cba6d97414a3b0.png,4,05/12/2026,"07/08/2025, 04/24/2026, 05/12/2026, 05/12/2026","30 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 30 09/20/2024 05/12/2026",33
e655d14a27644b7e8b81b0b91e1f9380,20 min Yoga Flow,Kirra Michel,20,12/11/2024,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance.",https://members.onepeloton.com/classes/yoga?modal=classDetailsModal&classId=e655d14a27644b7e8b81b0b91e1f9380,https://s3.amazonaws.com/peloton-ride-images/d34dfd362e420cd977c5d7778b80cf5bf7ed4365/img_1723139503_e9529ab9a90e4f9884168d0b1a2ccece.png,4,06/24/2025,"01/21/2025, 02/28/2025, 05/21/2025, 06/24/2025","20 min Yoga Flow Kirra Michel In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance. 20 12/11/2024 06/24/2025",355
